# id	file_path	transparent_color_r	g	b
[TEXTURES]
1	Resources\sprites\Jason_Overhead.png		255	255	255
3	Resources\sprites\Teleporters.png	254	255	255
15	Resources\sprites\enemies.png	254	255	255
17	Resources\sprites\116445.png	0	57	115
298	Resources\sprites\tileset.png	255	255	255
18	Resources\sprites\ItemObjects.png	254	255	255
101	Resources\bbox1.png	255	255	255
# next sprite: 10155

[SPRITES]
# id format: 5XX
#1 JASON OVERHEAD
Resources\Enemies\Jason_Overhead_sprites.txt

#3 TELEPORTER
Resources\Enemies\teleporter_sprites.txt

#4 CANNON
Resources\Enemies\cannon_sprites.txt

#6 EYE
Resources\Enemies\eye_sprites.txt

#101 CANNON BULLET
Resources\Enemies\cannon_bullet_sprites.txt
#17 BULLET
Resources\Enemies\bullet_sprites.txt

#101 box1
Resources\scene_opening_bbox1_sprites.txt

#298 Tile after break
Resources\Enemies\tileset_sprites.txt

#201 Item
Resources\Enemies\item_sprites.txt

[ANIMATIONS]
# id format: 5XX
#1 ==== JASON OVERHEAD =========
Resources\Enemies\Jason_Overhead_ani.txt

#3 ==== TELPORTER =========
Resources\Enemies\teleporter_ani.txt

#4 ==== CANNON =========
Resources\Enemies\cannon_ani.txt

#6 ==== EYE =========
Resources\Enemies\eye_ani.txt

#101 ==== CANNON BULLET =========
Resources\Enemies\cannon_bullet_ani.txt
#17 ==== BULLET =========
Resources\Enemies\bullet_ani.txt

#101 == box1 ==
Resources\scene_opening_bbox1_ani.txt

#298 ==== TILE after break wall or tree =========
Resources\Enemies\tileset_ani.txt

#201 ==== ITEM =========
Resources\Enemies\item_ani.txt

[OBJECTS]
# type	x	y	ani_set_id1	ani_set_id2...

# TREE
298	568	1864	298
298	568	1960	298
298	600	1896	298
298	600	1832	298
298	632	1928	298
298	664	1928	298
298	664	1864	298
298	696	1960	298
298	696	1864	298
# row
298	1064	952	298
298	1064	856	298
298	1096	920	298
298	1096	824	298
298	1128	888	298
298	1128	824	298
298	1160	888	298
298	1160	852	298
298	1192	920	298
298	1192	952	298
298	1192	824	298
298	1192	852	298
# section A
298	872	360	298
298	888	360	298
298	904	360	298
298	920	360	298
298	872	376	298
298	920	376	298
298	872	392	298
298	920	392	298
298	872	408	298
298	888	408	298
298	904	408	298
298	920	408	298
# section B
298	72	296	298
298	136	296	298
298	200	296	298
298	264	296	298
298	328	296	298
298	392	296	298
298	456	296	298
298	56	312	298
298	120	312	298
298	184	312	298
298	248	312	298
298	312	312	298
298	376	312	298
298	440	312	298
298	40	328	298
298	104	328	298
298	168	328	298
298	232	328	298
298	296	328	298
298	360	328	298
298	424	328	298
298	88	344	298
298	152	344	298
298	216	344	298
298	280	344	298
298	344	344	298
298	408	344	298
298	472	344	298
298	136	360	298
298	200	360	298
298	264	360	298
298	328	360	298
298	392	360	298
298	456	360	298
298	120	376	298
298	184	376	298
298	248	376	298
298	312	376	298
298	376	376	298
298	440	376	298
298	40	392	298
298	104	392	298
298	168	392	298
298	232	392	298
298	296	392	298
298	360	392	298
298	424	392	298
298	88	408	298
298	152	408	298
298	216	408	298
298	280	408	298
298	344	408	298
298	408	408	298
298	472	408	298
298	72	424	298
298	136	424	298
298	200	424	298
298	264	424	298
298	328	424	298
298	392	424	298
298	456	424	298
298	56	440	298
298	120	440	298
298	184	440	298
298	248	440	298
298	312	440	298
298	376	440	298
298	440	440	298
298	40	456	298
