# ani_id	sprite1_id	frames1	sprite2_id	frames2	...
#background
3201	3101	20	3102	20	3103	20
#mountain
3202	3104	4000 	3104	100
#begin
3303	3105	10000	3105 	100
# letters
3206	3106	1000
3210	3110	10000
3211	3111	10000
3212	3112	10000
3213	3113	10000
3214	3114	10000
3215	3115	10000
3216	3116	10000
3217	3117	10000
3218	3118	10000
3219	3119	10000
3220	3120	10000
3221	3121	10000
3222	3122	10000
3223	3123	10000
3224	3124	10000
3225	3125	10000
3226	3126	10000
3227	3127	10000
3228	3128	10000
3229	3129	10000
3230	3130	10000
3231	3131	10000
3232	3132	10000
3233	3133	10000
3234	3134	10000
3235	3135	10000
3236	3136	10000
3237	3137	10000
3238	3138	10000
3239	3139	10000
3240	3140	10000
3241	3141	10000
3242	3142	10000
3243	3143	10000
3244	3144	10000
3245	3145	10000
3246	3146	10000

# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# background
3301	3201
#mountain
3302	3202
#begin
3303	3303

#letters
3306	3206
3310	3210
3311	3211
3312	3212
3313	3213
3314	3214
3315	3215
3316	3216
3317	3217
3318	3218
3319	3219
3320	3220
3321	3221
3322	3222
3323	3223
3324	3224
3325	3225
3326	3226
3327	3227
3328	3228
3329	3229
3330	3230
3331	3231
3332	3232
3333	3233
3334	3234
3335	3235
3336	3236
3337	3237
3338	3238
3339	3239
3340	3240
3341	3241
3342	3242
3343	3243
3344	3244
3345	3245
3346	3246
