# id	left	top	right	bottom	texture_id
3101	0	0	511	224	3001
3102	0	0	511	224	3002
3103	0	0	511	224	3003
3104	0	0	24	24	3004
3105	0	0	256	224	3005
3106	0	0	256	224	3006						
3110	0	0	24	24	3010
3111	0	0	24	24	3011
3112	0	0	24	24	3012
3113	0	0	24	24	3013
3114	0	0	24	24	3014
3115	0	0	24	24	3015
3116	0	0	24	24	3016
3117	0	0	24	24	3017
3118	0	0	24	24	3018
3119	0	0	24	24	3019
3120	0	0	24	24	3020
3121	0	0	24	24	3021
3122	0	0	24	24	3022
3123	0	0	24	24	3023
3124	0	0	24	24	3024
3125	0	0	24	24	3025
3126	0	0	24	24	3026
3127	0	0	24	24	3027
3128	0	0	24	24	3028
3129	0	0	24	24	3029
3130	0	0	24	24	3030
3131	0	0	24	24	3031
3132	0	0	24	24	3032
3133	0	0	24	24	3033
3134	0	0	24	24	3034
3135	0	0	24	24	3035
3136	0	0	24	24	3036
3137	0	0	24	24	3037
3138	0	0	24	24	3038
3139	0	0	24	24	3039
3140	0	0	24	24	3040
3141	0	0	24	24	3041
3142	0	0	24	24	3042
3143	0	0	24	24	3043
3144	0	0	24	24	3044
3145	0	0	24	24	3045
3146	0	0	24	24	3046
